span,depth,xSectMax,objectClass,shape,mass,diameter,xSectMin,width,mission,vimpelId,cosparId,predDecayDate,cataloguedFragments,satno,height,xSectAvg,firstEpoch,active,name,onOrbitCataloguedFragments,constellationDiscosID
,,,Rocket Mission Related Object,,,,,,,,2016-068E,2040-06-13,0,44605,,,2019-10-03,,CZ-2D operational debris (sep motor cover),0,
,3.4,35.136,Payload,Box + 1 Pan,1980.0,,11.22,3.4,Civil Imaging,,2019-093E,2322-04-02,0,44883,3.3,22.1961,2019-12-20,True,CBERS 4A,0,
,1.0,5.4002,Payload,Box + 1 Pan,227.0,,1.0,1.0,Commercial Communications,,2020-004A,2054-04-29,0,45024,2.0,3.3127,2020-01-16,True,Yinhe 1,0,
5.0,1.0,4.0496,Payload,Trap Box + 2 Pan,148.0,,1.4342,1.0,Commercial Communications,,2020-008AJ,3775-10-24,0,45163,1.3,2.95680294117647,2020-02-14,True,OneWeb 0062,0,7
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-057BE,2067-12-08,0,46169,0.1,13.5615,2020-08-25,True,Starlink 1628,0,251
,0.1,0.0335,Payload,Box + 2 Pan,1.0,,0.01,0.1,Amateur Imaging,,2020-061AS,2024-09-08,0,46312,0.1,0.0215,2020-09-30,True,TTU100,0,
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-062BD,2061-10-10,0,46376,0.1,13.5615,2020-09-09,True,Starlink 1742,0,251
0.3,0.1,0.1911,Payload,Box + 2 Pan,5.0,,0.018,0.1,Commercial Imaging,,2020-061BD,2024-02-28,0,46527,0.3,0.1076,2020-10-02,,Flock 4v-16,0,
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-074AK,2074-05-14,0,46772,0.1,13.5615,2020-10-24,True,Starlink 1936,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-074BC,2063-08-17,0,46789,0.1,13.5615,2020-10-24,True,Starlink 1930,0,251
,,22.8117,Payload,Hex Cyl + 3 Pan,1197.0,2.0,2.5981,,Defense Imaging,,2020-090A,2169-11-02,0,47226,4.0,12.145,2020-12-02,True,FalconEye 2,0,
0.3,0.1,0.1911,Payload,Box + 2 Pan,5.0,,0.018,0.1,Commercial Imaging,,2021-006BL,2024-12-31,0,47471,0.3,0.1076,2021-01-24,True,Flock 4s-12,0,
1.0,0.5,0.633235078264092,Payload,Box + 2 Pan,500.0,,0.25,0.5,Defense Sigint,,2021-007A,9999-12-31,0,47532,0.5,0.446,2021-01-29,True,Yaogan Weixing 31-02-01,0,
1.0,0.5,0.633235078264092,Payload,Box + 2 Pan,500.0,,0.25,0.5,Defense Sigint,,2021-007B,9999-12-31,0,47533,0.5,0.446,2021-01-29,True,Yaogan Weixing 31-02-02,0,
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-009AX,2056-12-06,0,47593,0.1,13.5615,2021-02-11,True,Starlink 1998,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-012AK,2066-10-15,0,47653,0.1,13.5615,2021-02-22,True,Starlink 2037,0,251
7.49,,26.1861808881307,Rocket Body,Cyl,4000.0,3.3,8.55298599939821,,,,2021-039E,2027-08-30,0,48427,7.5,23.715097543786,2021-05-07,,L-55 (YF24) (Long March (CZ) 2C),0,
0.75,0.4,0.453431361950185,Payload,Box,37.0,,0.16,0.4,Commercial Imaging,,2021-059AC,2024-12-12,0,48905,0.75,0.38,2021-07-06,True,NuSat 19,0,21
5.0,1.0,4.77108631365546,Payload,Trap Box + 2 Pan,148.0,,0.696419413859206,1.0,Commercial Communications,,2021-060AM,4237-08-19,0,49002,1.3,2.03175274719254,2021-07-02,True,OneWeb 0284,0,7
0.1,0.1,0.0173205080756888,Payload,Box,1.0,,0.01,0.1,Amateur Technology,,2021-073D,2026-05-03,0,49069,0.1,0.015,2021-08-17,True,LEDSAT,0,
,,,Payload Fragmentation Debris,,,,,,,,1982-092LB,2024-03-29,0,49844,,,2021-11-15,,Cosmos-1408 debris,0,
0.3,0.1,0.1911,Payload,Box + 2 Pan,5.0,,0.018,0.1,Commercial Imaging,,2022-002J,2025-02-09,0,50992,0.3,0.1076,2022-01-18,True,Flock 4x-8,0,
0.8,0.2,0.126458480319612,Payload,Box + 2 Pan,9.125,,0.02,0.1,Commercial Imaging,,2022-002BE,2024-09-06,0,51036,0.3,0.0765333333333333,2022-01-18,True,Lemur-2 Rohovithsa,0,
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-016AE,2107-04-27,0,51742,0.1,13.5615,2022-02-25,True,Starlink 3521,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-016AF,2090-06-23,0,51743,0.1,13.5615,2022-02-25,True,Starlink 3512,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-017W,2068-04-07,0,51788,0.1,13.5615,2022-02-25,True,Starlink 3641,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-025AK,2048-11-13,0,51989,0.1,13.5615,2022-03-16,True,Starlink 3642,0,254
1.5,1.0,2.34520787991171,Payload,Box + 2 Pan,42.0,,1.0,1.0,Commercial Imaging,,2022-046E,2026-03-13,0,52392,1.5,2.0,2022-04-30,True,Jilin-1 Gaofen 3D-07,0,22
0.813,0.508,0.63854650271378,Payload,Box,41.5,,0.258064,0.508,Commercial Imaging,,2022-057W,2025-10-24,0,52752,0.813,0.542036,2022-06-01,True,NuSat 31,0,21
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-084C,2077-07-11,0,53191,0.1,13.5615,2022-07-27,True,Starlink 4369,0,253
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-101BD,2057-08-05,0,53578,0.1,13.5615,2022-08-24,True,Starlink 4556,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-114AB,2080-07-31,0,53843,0.1,13.5615,2022-09-23,True,Starlink 4769,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-119U,2090-01-24,0,53904,0.1,13.5615,2022-09-30,True,Starlink 4787,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-136BA,2078-04-05,0,54099,0.1,13.5615,2022-10-25,True,Starlink 5198,0,254
5.0,2.5,15.8255400423551,Payload,Box + 2 Pan,500.0,,6.25,2.5,Defense Technology,,2022-169A,2301-02-23,0,54699,2.5,11.0633333333333,2022-12-12,True,Shiyan 20A,0,
0.4,0.4,0.27712812921102,Payload,Box,220.0,,0.16,0.4,Commercial Technology,,2023-001BD,2056-12-16,0,55060,0.4,0.24,2023-01-18,True,ION-SCV 007,0,
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2023-013L,2123-11-08,0,55341,0.1,13.5615,2023-01-31,True,Starlink 5670,0,255
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2023-013AN,2085-08-28,0,55367,0.1,13.5615,2023-01-31,True,Starlink 5635,0,255
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2023-014Y,2108-08-18,0,55413,0.1,13.5615,2023-02-07,True,Starlink 5060,0,252
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2023-014BA,2070-04-15,0,55439,0.1,13.5615,2023-02-07,True,Starlink 5634,0,252
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2023-015AT,2045-01-09,0,55490,0.1,13.5615,2023-02-10,True,Starlink 5373,0,255
9.0,2.8,27.5921076312379,Payload,Box + 1 Pan,305.0,,0.56,2.8,Commercial Communications,,2023-028BB,2100-10-08,0,55790,0.2,11.0874666666667,2023-03-08,True,Starlink 5813,0,252
5.0,1.0,4.77108631365546,Payload,Trap Box + 2 Pan,148.0,,0.696419413859206,1.0,Commercial Communications,,2023-043J,4030-09-04,0,56054,1.3,2.03175274719254,2023-03-28,True,OneWeb 0552,0,7
0.813,0.508,0.63854650271378,Payload,Box,41.5,,0.258064,0.508,Commercial Imaging,,2023-054AA,2025-11-11,0,56202,0.813,0.542036,2023-04-18,True,NuSat 38,0,21
9.0,2.8,27.5921076312379,Payload,Box + 1 Pan,305.0,,0.56,2.8,Commercial Communications,,2023-061P,2125-08-04,0,56387,0.2,11.0874666666667,2023-05-11,True,Starlink 6178,0,255
9.0,2.8,27.5921076312379,Payload,Box + 1 Pan,305.0,,0.56,2.8,Commercial Communications,,2023-064H,2141-10-05,0,56455,0.2,11.0874666666667,2023-05-16,True,Starlink 5987,0,252
9.0,2.8,27.5921076312379,Payload,Box + 1 Pan,305.0,,0.56,2.8,Commercial Communications,,2023-064Z,2143-03-23,0,56471,0.2,11.0874666666667,2023-05-16,True,Starlink 5521,0,252
9.0,2.8,27.5921076312379,Payload,Box + 1 Pan,305.0,,0.56,2.8,Commercial Communications,,2023-064AA,2082-07-17,0,56472,0.2,11.0874666666667,2023-05-16,True,Starlink 5038,0,
29.0,2.7,92.8399436945112,Payload,Box + 2 Pan,750.0,,0.81,4.1,Commercial Communications,,2023-096L,2069-06-30,0,57300,0.3,33.8838666666667,2023-07-18,True,Starlink 30236,0,256
29.0,2.7,92.8399436945112,Payload,Box + 2 Pan,750.0,,0.81,4.1,Commercial Communications,,2023-102J,2068-10-21,0,57412,0.3,33.8838666666667,2023-07-27,True,Starlink 30182,0,256
29.0,2.7,92.8399436945112,Payload,Box + 2 Pan,750.0,,0.81,4.1,Commercial Communications,,2023-113R,2056-04-25,0,57510,0.3,33.8838666666667,2023-08-15,True,Starlink 30153,0,256
29.0,2.7,92.8399436945112,Payload,Box + 2 Pan,750.0,,0.81,4.1,Commercial Communications,,2023-115K,2079-05-16,0,57530,0.3,33.8838666666667,2023-08-15,True,Starlink 30270,0,256
2.0,0.2,0.435549078932343,Payload,Box + 2 Pan,40.0,,0.04,0.2,Commercial Communications,,2023-121E,2055-06-30,0,57630,0.5,0.223066666666667,2023-08-14,True,HEAD-3E,0,19
29.0,2.7,92.8399436945112,Payload,Box + 2 Pan,750.0,,0.81,4.1,Commercial Communications,,2023-124G,2041-12-13,0,57669,0.3,33.8838666666667,2023-09-06,True,Starlink 30271,0,257
29.0,2.7,92.8399436945112,Payload,Box + 2 Pan,750.0,,0.81,4.1,Commercial Communications,,2023-134A,2058-06-23,0,57771,0.3,33.8838666666667,2023-09-08,True,Starlink 30397,0,256
29.0,2.7,92.8399436945112,Payload,Box + 2 Pan,750.0,,0.81,4.1,Commercial Communications,,2023-141A,2034-04-07,0,57840,0.3,33.8838666666667,2023-09-21,True,Starlink 30285,0,257
0.6,0.2,0.190115324287189,Payload,Box + 3 Pan,15.0,,0.04,0.2,Defense Imaging,,2023-150A,2024-09-14,0,57962,0.3,0.1156,2023-09-27,True,Noor 3,0,
29.0,2.7,92.8399436945112,Payload,Box + 2 Pan,750.0,,0.81,4.1,Commercial Communications,,2023-151Q,2091-08-08,0,57978,0.3,33.8838666666667,2023-10-05,True,Starlink 30511,0,256
0.5,0.2,0.142008315196469,Payload,Box + 2 Pan,10.0,,0.04,0.2,Commercial Technology,,2023-155F,2031-10-15,0,58021,0.3,0.0980666666666667,2023-10-09,True,CSC-2,0,
0.3,0.1,0.0435889894354067,Payload,Box + 2 Pan,5.7,,0.01,0.1,Commercial Imaging,,2023-174U,2027-06-15,0,58274,0.3,0.035,2023-11-28,True,Flock 4q-36,0,
0.3,0.1,0.0435889894354067,Payload,Box + 2 Pan,5.7,,0.01,0.1,Commercial Imaging,,2023-174AE,2027-08-23,0,58284,0.3,0.035,2023-11-28,True,Flock 4q-26,0,
29.0,2.7,92.8399436945112,Payload,Box + 2 Pan,750.0,,0.81,4.1,Commercial Communications,,2023-177M,2079-09-03,0,58362,0.3,33.8838666666667,2023-11-24,True,Starlink 30890,0,256
5.0,2.5,15.8255400423551,Payload,Box + 2 Pan,300.0,,6.25,2.5,Defense Sigint,,2023-194E,2024-11-28,0,58561,2.5,11.0633333333333,2023-12-10,,Yaogan Weixing 39-05-03,0,
0.4,0.2,0.126030046993503,Payload,Box + 2 Pan,10.0,,0.04,0.2,Commercial Imaging,,2023-174CW,2026-12-20,0,58565,0.3,0.0924,2023-11-28,True,Intuition-1,0,
4.8,,6.89406208390246,Rocket Body,Cyl,445.99,1.4,1.539380400259,,,,1961-031C,2625-02-19,0,204,4.8,6.04756585816035,1961-11-15,,Able-Star (Thor-Ablestar),0,
,,,Rocket Fragmentation Debris,,,,,,,,1961-015GA,2160-01-07,0,541,,,1961-06-29,,Thor Ablestar fragmentation debris,0,
,,,Payload Fragmentation Debris,,,,,,,,1968-097AD,2482-05-06,0,3686,,,1968-11-01,,Cosmos-252 fragmentation debris,0,
,,,Rocket Fragmentation Debris,,,,,,,,1970-025AP,2337-08-18,0,4655,,,1970-10-17,,Agena D debris,0,
1.4,,2.49224637961449,Payload,Cyl,743.31,1.4,1.539380400259,,Defense Target,,1971-020A,4560-11-01,1,5050,1.4,2.3090706003885,1971-03-18,,Cosmos-400,1,
0.8,0.8,0.6283,Payload,Sphere,39.64,,0.5027,0.8,Defense Communications,,1972-087H,7092-02-11,0,6270,0.8,0.5883,1972-11-01,,Cosmos-535,0,
4.2,,11.048620352157,Rocket Body,Cyl,1434.0,2.4,4.5238934211693,,,,1973-104J,9999-12-31,0,6993,4.2,10.1787601976309,1973-12-19,,Cosmos 3 second stage (S3) (Cosmos 3M (11K65M)),0,
4.2,,11.048620352157,Rocket Body,Cyl,1434.0,2.4,4.5238934211693,,,,1974-001B,2292-02-22,0,7095,4.2,10.1787601976309,1974-01-17,,Cosmos 3 second stage (S3) (Cosmos 3M (11K65M)),0,
,,,Rocket Fragmentation Debris,,,,,,,,1974-089EH,4163-08-21,0,10392,,,1975-08-20,,Delta 2310 debris,0,
,,,Rocket Fragmentation Debris,,,,,,,,1977-065ED,2291-06-22,0,10471,,,1977-07-14,,Delta 2914 fragmentation debris,0,
,,,Payload Fragmentation Debris,,,,,,,,1981-053FL,2034-01-06,0,13464,,,1981-07-24,,Cosmos-1275 debris,0,
1.24,,0.933741697815041,Rocket Body,Cyl,28.0,0.69,0.373928065593525,,,,1985-021B,2078-05-02,0,15596,1.24,0.858950701399619,1985-03-13,,ATLAS E/F (Atlas E),0,
0.8,0.8,0.6283,Payload,Sphere,39.64,,0.5027,0.8,Defense Communications,,1985-023H,7503-11-01,0,15624,0.8,0.5883,1985-03-21,,Cosmos-1642,0,
,,,Rocket Fragmentation Debris,,,,,,,,1974-089FA,3100-12-12,0,18693,,,1975-08-20,,Delta 2310 debris,0,
0.8,0.8,0.6283,Payload,Sphere,39.64,,0.5027,0.8,Defense Communications,,1990-029F,7950-10-23,0,20554,0.8,0.5883,1990-04-06,,Cosmos-2069,0,
0.8,0.8,0.6283,Payload,Sphere,39.64,,0.5027,0.8,Defense Communications,,1991-009H,7700-02-08,0,21107,0.8,0.5883,1991-02-12,,Cosmos-2132,0,
,,,Rocket Fragmentation Debris,,,,,,,,1975-052AZ,3268-02-05,0,21331,,,1991-05-01,,Delta 2910 debris,0,
,,,Rocket Fragmentation Debris,,,,,,,,1975-052JV,2432-01-08,0,21969,,,1991-05-01,,Delta 2910 debris,0,
,,,Rocket Fragmentation Debris,,,,,,,,1992-093EU,2031-01-26,0,22455,,,1992-12-26,,Zenit-2 fragmentation debris,0,
2.7,,7.90291159548801,Rocket Body,Cyl,1387.51,2.4,4.5238934211693,,,,1993-024B,2075-04-22,0,22627,2.7,7.35132680940012,1993-04-16,,Tsyklon-3-3 (Tsyklon SL-14 (F-2)),0,
0.24,0.24,0.0452,Payload,Sphere,47.57,,0.0452,0.24,Civil Geodetic,,1993-061B,3257-04-13,0,22824,0.24,0.0452,1993-09-26,True,Stella,0,
19.0,,133.0,Payload,,3221.01,,38.4845,,Defense Sigint,,1994-023A,2277-04-23,0,23087,,,1994-04-23,,Cosmos-2278,0,
6.0,,1.22061162727758,Payload,Nonag Cyl + 1 Ant,325.0,0.6,0.260328981923048,,Commercial Com/Imaging,,1999-021A,2058-03-22,0,25693,1.0,0.860558351117844,1999-04-21,,UoSAT-12 (UO-36),0,
12.0,12.0,9.366,Payload,Box + 2 Pan,715.0,,1.0532,0.6,Commercial Communications,,1999-031C,9999-12-31,0,25772,4.0,5.5868625,1999-06-10,,Globalstar M025,0,3
,,,Rocket Debris,,,,,,,,2000-047C,2058-01-03,0,27469,,,2000-08-17,,Titan 4B debris,0,
4.0,4.0,23.3238075793812,Payload,Box,764.0,,12.0,3.0,Civil Imaging/Sci,,2004-018A,2189-11-15,0,28254,4.0,20.0,2004-05-20,,ROCSAT-2,0,
4.0,1.4,6.30695718947381,Payload,Box + 1 Pan,350.0,,1.96,1.4,Civil Science,,2006-046A,2033-11-04,0,29505,1.4,3.92306666666667,2006-10-23,True,SJ-6/2A,0,
,,,Payload Fragmentation Debris,,,,,,,,1999-025AUP,2077-07-22,0,30805,,,2007-01-11,,Fengyun 1C debris,0,
,,,Rocket Mission Related Object,,,,,,,,2003-049E,2034-08-12,0,31139,,,2003-10-21,,CZ-4B operational debris (sep motor cover),0,
,,,Payload Fragmentation Debris,,,,,,,,1993-036WG,2034-07-28,0,34611,,,2009-02-10,,Cosmos-2251 fragmentation debris,0,
,,,Payload Fragmentation Debris,,,,,,,,1993-036ADH,2025-03-19,0,34912,,,2009-02-10,,Cosmos-2251 fragmentation debris,0,
,,,Rocket Mission Related Object,,,,,,,,2010-028E,2037-07-12,0,36602,,,2010-06-15,,Dnepr Platform A/Fairing,0,
12.0,,32.6734,Payload,Trap Cyl + 2 Pan,715.0,2.0,9.3488,,Commercial Communications,,2010-054F,5171-05-14,0,37193,4.0,20.9307264705882,2010-10-19,True,Globalstar-2 M073,0,4
3.0,1.0,3.33225579443775,Payload,Box + 2 Pan,500.0,,1.0,1.0,Civil Technology,,2013-037C,2058-12-16,0,39210,1.0,2.04533333333333,2013-07-19,True,Shiyan Weixing 7 (SY-7),0,
7.0,,17.9928256770838,Payload,Hex Cyl + 3 Pan,712.0,2.0,2.59807621135332,,Commercial Imaging,,2014-034A,2067-01-28,0,40053,2.7,9.39003810567666,2014-06-30,True,SPOT 7,0,
1.5,1.0,2.34520787991171,Payload,Box + 2 Pan,95.0,,1.0,1.0,Commercial Imaging,,2015-057B,2056-03-27,0,40959,1.5,2.0,2015-10-07,True,Jilin-1 Shipin 1,0,22
,,,Payload Fragmentation Debris,,,,,,,,2000-055W,2045-04-14,0,41063,,,2015-11-25,,NOAA 16 fragmentation debris,0,
0.8,0.8,0.5027,Payload,Sphere,16.0,,0.5027,0.8,Defense Calibration,,2015-071B,2035-11-07,0,41099,0.8,0.5027,2015-12-05,,Cosmos-2512,0,
,,,Payload Fragmentation Debris,,,,,,,,2016-012L,2025-01-10,0,41442,,,2016-03-26,,ASTRO-H fragmentation debris,0,
4.0,1.5,7.80254333806397,Payload,Box + 2 Pan,600.0,,2.25,1.5,Commercial Imaging,,2016-083B,2025-03-15,0,41908,2.0,5.14133333333333,2017-01-01,True,SuperView 1-2,0,
0.3,0.1,0.0435889894354067,Payload,Box,4.5,,0.01,0.1,Commercial Technology,,2017-036AF,2029-12-10,0,42794,0.3,0.035,2017-06-25,,D-SAT,0,
1.5,1.0,2.34520787991171,Payload,Box + 2 Pan,42.0,,1.0,1.0,Commercial Imaging,,2018-008F,2031-05-03,0,43160,1.5,2.0,2018-01-19,True,Jilin-1 Shipin 8,0,22
7.49,,26.1861808881307,Rocket Body,Cyl,4000.0,3.3,8.55298599939821,,,,2019-045D,2025-11-20,0,44452,7.5,23.715097543786,2019-07-27,,L-55 (YF24) (Long March (CZ) 2C),0,
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-001R,,0,44929,0.1,13.5615,2020-01-13,,Starlink 1121,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-001AG,2069-12-26,0,44944,0.1,13.5615,2020-01-13,True,Starlink 1108,0,251
,0.3,0.230434372436058,Payload,Box,40.0,,0.09,0.3,Commercial Communications,,2020-003D,2024-09-11,0,45019,0.5,0.195,2020-01-15,True,Tianqi-5,0,
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-012A,2066-02-01,0,45178,0.1,13.5615,2020-02-24,True,Starlink 1138,0,251
,0.5,0.874,Payload,Box,93.0,,0.1971,0.5,Commercial Communications,,2020-028A,2036-07-17,0,45602,0.5,0.569102205882353,2020-05-12,True,Xingyun 1,0,
,0.1,0.03,Payload,Box,2.0,,0.01,0.1,Amateur Science,,2020-061R,2025-04-19,0,46287,0.2,0.025,2020-09-11,True,AMICal-Sat,0,
0.6,0.1,0.134204672727147,Payload,Box + 2 Pan,10.0,,0.02,0.2,Commercial Meteo Radio Occ.,,2020-061Y,2025-11-26,0,46294,0.3,0.0787333333333333,2020-09-03,True,OSM-1 CICERO,0,
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-074AH,2059-01-18,0,46770,0.1,13.5615,2020-10-24,True,Starlink 1932,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-088A,2049-01-31,0,47122,0.1,13.5615,2020-12-01,True,Starlink 1777,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2020-088AK,2068-10-18,0,47155,0.1,13.5615,2020-12-01,True,Starlink 1869,0,251
0.3,0.1,0.1911,Payload,Box + 2 Pan,5.0,,0.018,0.1,Commercial Imaging,,2021-006DF,2025-02-10,0,47515,0.3,0.1076,2021-01-27,True,Flock 4s-5,0,
0.3,0.1,0.1911,Payload,Box + 2 Pan,5.0,,0.018,0.1,Commercial Imaging,,2021-006DN,2025-01-17,0,47522,0.3,0.1076,2021-01-27,True,Flock 4s-37,0,
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-012BG,2067-06-04,0,47674,0.1,13.5615,2021-02-22,True,Starlink 2067,0,251
0.4,0.2,0.12,Payload,Box,15.0,,0.04,0.2,Civil Imaging,,2021-022J,2025-07-04,0,47940,0.4,0.1,2021-03-23,True,DMSat-1,0,
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-038Y,2056-10-17,0,48375,0.1,13.5615,2021-05-12,True,Starlink 2603,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-038AY,2072-09-19,0,48399,0.1,13.5615,2021-05-12,True,Starlink 2587,0,251
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2021-038BK,2066-11-18,0,48410,0.1,13.5615,2021-05-12,True,Starlink 2563,0,251
1.0,0.2,0.222097987423036,Payload,Box + 2 Pan,10.0,,0.04,0.2,Amateur Astronomy,,2021-088D,2026-05-15,0,49263,0.3,0.1264,2021-09-28,True,CUTE,0,
0.51,0.5,0.433012701892219,Payload,Box,46.0,,0.25,0.5,Commercial Imaging,,2021-102E,2034-10-02,0,49399,0.5,0.375,2021-11-09,True,Z-SAT,0,
0.3,0.2,0.0938083151964686,Payload,Box,5.0,,0.04,0.2,Commercial Imaging,,2022-002DH,2024-04-30,0,51087,0.3,0.08,2022-02-06,True,STORK-1,0,
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-005AU,2068-04-16,0,51146,0.1,13.5615,2022-01-24,True,Starlink 3354,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-016AP,2066-06-03,0,51751,0.1,13.5615,2022-02-25,True,Starlink 3506,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-017P,2085-04-15,0,51781,0.1,13.5615,2022-02-25,True,Starlink 3580,0,254
1.5,1.0,2.34520787991171,Payload,Box + 2 Pan,42.0,,1.0,1.0,Commercial Imaging,,2022-048C,2026-03-28,0,52445,1.5,2.0,2022-05-05,True,Jilin-1 Gaofen 3D-28,0,22
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-049Y,2068-02-17,0,52473,0.1,13.5615,2022-05-13,True,Starlink 3879,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-049AE,2048-06-18,0,52479,0.1,13.5615,2022-05-13,True,Starlink 3878,0,254
2.0,0.5,1.35024078501881,Payload,Box + 2 Pan,130.0,,0.25,0.5,Commercial Navigation,,2022-058H,2034-08-28,0,52792,1.0,0.832666666666667,2022-06-02,True,GeeSat-1 08,0,
0.3,0.2,0.0938083151964686,Payload,Box,10.0,,0.04,0.2,Amateur Technology,,2022-065D,2048-12-05,0,52897,0.3,0.08,2022-06-29,True,STEP Cube Lab 2,0,
5.0,2.5,15.8255400423551,Payload,Box + 2 Pan,300.0,,6.25,2.5,Defense Sigint,,2022-068C,2024-04-18,0,52909,2.5,11.0633333333333,2022-06-23,True,Yaogan Weixing 35-02-03,0,
8.0,2.0,21.3285644757443,Payload,Box + 3 Pan,3000.0,,4.0,2.0,Defense Radar Imaging,,2022-069A,2037-05-15,0,52912,2.0,10.846,2022-06-27,True,Gaofen 12-03,0,
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-105B,2057-07-03,0,53649,0.1,13.5615,2022-09-06,True,Starlink 4386,0,253
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-119AC,2088-11-24,0,53912,0.1,13.5615,2022-09-30,True,Starlink 5059,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-119AX,2086-07-17,0,53931,0.1,13.5615,2022-09-30,True,Starlink 5015,0,254
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-136BD,2071-10-09,0,54102,0.1,13.5615,2022-10-25,True,Starlink 5179,0,254
0.3,0.3,0.155884572681199,Payload,Box,16.5,,0.09,0.3,Commercial Imaging,,2022-158F,2024-10-23,0,54366,0.3,0.135,2022-11-26,True,Anand,0,
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2022-175G,2058-05-24,0,54764,0.1,13.5615,2022-12-27,True,Starlink 5458,0,254
0.3,0.1,0.0435889894354067,Payload,Box,4.0,,0.01,0.1,Commercial Communications,,2023-001DC,2033-10-23,0,55107,0.3,0.035,2023-03-02,True,Kelpie-1,0,
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2023-015Y,2076-12-27,0,55471,0.1,13.5615,2023-02-10,True,Starlink 5711,0,255
8.86,1.5,23.657,Payload,Box + 1 Pan,260.0,,0.2311,3.7,Commercial Communications,,2023-020G,2105-02-07,0,55575,0.1,13.5615,2023-02-17,True,Starlink 5745,0,255
